Process ID,Burst Time,Arrival Time,Time of First Service,Completion Time,Waiting Time
1,0.025088648924098622,0.010246893410551012,0.010246893410551012,0.03533554233464963,0.0
2,0.18185720030844288,0.05442918560476109,0.05442918560476109,0.23628638591320397,0.0
3,0.08803953605670264,0.16321027986318506,0.25914832617435063,0.34718786223105325,0.09593804631116556
4,0.022861940261146643,0.19238704677247803,0.23628638591320397,0.25914832617435063,0.04389933914072594
5,0.0062037807147789165,0.26111705123395185,0.34718786223105325,0.35339164294583214,0.0860708109971014
