Process ID,Burst Time,Arrival Time,Time of First Service,Completion Time,Waiting Time
1,0.01078150957215843,0.04061766471639386,0.04061766471639386,0.051399174288552285,0.0
2,9.135739136405469e-05,0.07252593047432981,0.07252593047432981,0.07261728786569387,0.0
3,0.03416203891937882,0.2336903796693764,0.2336903796693764,0.2678524185887552,0.0
4,0.013633379676052246,0.28612645606371684,0.28612645606371684,0.2997598357397691,0.0
5,0.04817456119240261,0.2903506525515906,0.2997598357397691,0.3479343969321717,0.009409183188178516
