Process ID,Burst Time,Arrival Time,Time of First Service,Completion Time,Waiting Time
1,0.051256000592060175,0.08396907860553439,0.08396907860553439,0.13522507919759458,0.0
2,0.06656896783667263,0.15046515882241157,0.15046515882241157,0.2170341266590842,0.0
3,0.07240637240634322,0.2233343069289901,0.2233343069289901,0.2957406793353333,0.0
4,0.24575982944392097,0.25767935819810883,0.2957406793353333,0.5415005087792543,0.03806132113722449
5,0.015975219322381533,0.2586550272667465,0.5415005087792543,0.5574757281016358,0.28284548151250777
