Process ID,Burst Time,Arrival Time,Time of First Service,Completion Time,Waiting Time
1,0.012213372450318187,0.19583966726003937,0.19583966726003937,0.20805303971035757,0
2,0.06187450602539011,0.38922471183472485,0.5220009052403606,0.5838754112657507,0.0
3,0.024083900370743382,0.4979170048696172,0.4979170048696172,0.5220009052403606,0.0
4,0.13043744051783376,0.5448358915737928,0.5838754112657507,0.7143128517835845,0.0
5,0.009547135186497531,0.672060302188745,0.7143128517835845,0.723859986970082,0
