Process ID,Burst Time,Arrival Time,Time of First Service,Completion Time,Waiting Time
1,0.0067294096503561,0.016979835315718474,0.016979835315718474,0.023709244966074575,0
2,0.12641949183366552,0.10261409940332504,0.10261409940332504,0.22903359123699066,0.11999999999999998
3,0.013239198680905735,0.1202736336896732,0.22903359123699066,0.24227278991789641,0.12641949183366552
4,0.018250078384330397,0.1300322731147305,0.24227278991789641,0.2605228683022268,0.12965869051457127
5,0.013275170177208436,0.21148219728812606,0.2605228683022268,0.2737980384794353,0.06790876889890167
6,0.03537958833363914,0.22946150351462613,0.2737980384794353,0.3091776268130745,0.07476444724244456
7,0.029333392763136193,0.23381657322545274,0.3091776268130745,0.3385110195762107,0.10014403557608369
8,0.01565821748596226,0.24744986224970392,0.3385110195762107,0.35416923706217296,0.10623822965831416
9,0.06479098441988632,0.25684281094220873,0.35416923706217296,0.4189602214820593,0.16189644714427642
10,0.03241518173605603,0.32586309872205915,0.4189602214820593,0.45137540321811537,0.12978259466898473
11,0.06546278107763727,0.3664862228281447,0.45137540321811537,0.5168381842957527,0.14720616615594231
12,0.005682347769728411,0.36935154571333645,0.5168381842957527,0.5225205320654811,0.15266894723357957
13,0.032094073689689306,0.37281378098683743,0.5225205320654811,0.5546146057551704,0.18835129500330802
14,0.0009188134907693363,0.3750059806239756,0.5546146057551704,0.5555334192459398,0.18044536869299735
15,0.03627739429930629,0.3879415639200019,0.5555334192459398,0.5918108135452461,0.20136418218376667
16,0.04273614919027636,0.3924243079500512,0.5918108135452461,0.6345469627355225,0.247641576483073
17,0.18434786972902467,0.4033181005578283,0.6345469627355225,0.8188948324645473,0.4203777256733495
18,0.031874852211288815,0.4375892734038191,0.8188948324645473,0.8507696846758361,0.41993461098248785
19,0.04281998624067442,0.48036003039988845,0.8507696846758361,0.8935896709165105,0.4193942814577207
20,0.1122815172048583,0.5170771457727721,0.8935896709165105,1.0058711881213689,0.4867514866207579
21,0.16064577912396205,0.557373788579505,1.0058711881213689,1.166516967245331,0.6103377688754292
22,0.004028189956802818,0.5725613561677984,1.166516967245331,1.170545157202134,0.6009835479993912
23,0.018936659687275138,0.5913047740159446,1.170545157202134,1.189481816889409,0.595011737956194
24,0.06555997816258888,0.5934018192867996,1.189481816889409,1.2550417950519979,0.6576710033441627
25,0.016209272740496824,0.6049097437785024,1.2550417950519979,1.2712510677924946,0.6632309815067516
26,0.03393726279123842,0.6885068185345562,1.2712510677924946,1.305188330583733,0.6167041050569723
27,0.08877599223635532,0.6973146015462744,1.305188330583733,1.3939643228200884,0.6906413678482107
28,0.029435080164105225,0.7228434337686952,1.3939643228200884,1.4233994029841937,0.699417360084566
29,0.023097385774924244,0.7687263290095416,1.4233994029841937,1.4464967887591178,0.6788524402486712
30,0.02279556934039354,0.779876498689688,1.4464967887591178,1.4692923580995114,0.6919498260235953
31,0.01742705701534599,0.7879337771657309,1.4692923580995114,1.4867194151148575,0.6947453953639888
32,0.007257091628811563,0.7989797078535708,1.4867194151148575,1.493976506743669,0.6921724523793348
33,0.04318957772275793,0.9194677508443845,1.493976506743669,1.537166084466427,0.6203868358271585
34,0.01507290594039948,0.9481858628618058,1.537166084466427,1.5522389904068266,0.6035764135499165
35,0.010894543950854398,0.9587634795369766,1.5522389904068266,1.5631335343576809,0.608649319490316
36,0.07057700919634553,1.049538943432765,1.5631335343576809,1.6337105435540265,0.587262346236312
37,0.10312986356102313,1.0880454492045182,1.6337105435540265,1.7368404071150496,0.6478393554326577
38,0.004599761681792039,1.1417847779303725,1.7368404071150496,1.7414401687968417,0.6009692189936808
39,0.0228933571058285,1.146522580304418,1.7414401687968417,1.7643335259026702,0.6155689806754728
40,0.017296087463870322,1.229064646588049,1.7643335259026702,1.7816296133665406,0.5548517090132613
41,0.07982881530078048,1.2342737036596916,1.7816296133665406,1.861458428667321,0.6221477964771317
42,0.0870969011299466,1.291920351079215,1.861458428667321,1.9485553297972678,0.6502073608748266
43,0.0577369414857166,1.2957537068348481,1.9485553297972678,2.0062922712829843,0.7073042620047733
44,0.09163081982977316,1.3031768687147398,2.0062922712829843,2.0979230911127553,0.7950412034904899
45,0.06662987913751317,1.3175385778345752,2.0979230911127553,2.1645529702502673,0.8427347605290246
46,0.0486714673741465,1.3192359550836295,2.1645529702502673,2.213224437624413,0.8893646396665378
47,0.002767321300814032,1.3370751674949772,2.213224437624413,2.215991758925227,0.8780361070406842
48,0.050306973491962025,1.3597034518197473,2.215991758925227,2.2662987324171877,0.9108034283414983
49,0.044541461667826715,1.3606366792366464,2.2662987324171877,2.3108401940850136,0.9511104018334604
50,0.04801920927642951,1.371726693904819,2.3108401940850136,2.3588594033614423,0.9856518635012872
51,0.03960501600205711,1.4058858084655463,2.3588594033614423,2.3984644193634987,0.9848950805413614
52,0.02207481512820651,1.4066844321518877,2.3984644193634987,2.420539234491705,1.0145000965434186
53,0.052890476987238796,1.539262397677226,2.420539234491705,2.4734297114789427,0.9333731500252864
54,0.12675723402094843,1.5442353815816756,2.4734297114789427,2.6001869454998885,1.0562636270125252
55,0.07353089138122158,1.574965983915224,2.6001869454998885,2.6737178368811088,1.0970534111422199
56,0.0852251909827999,1.6308918650873934,2.6737178368811088,2.758943027863907,1.1305843025234412
57,0.043276028717500525,1.7384586172335825,2.758943027863907,2.8022190565814067,1.0621026207488724
58,0.020054347765404386,1.7542565857137613,2.8022190565814067,2.8222734043468107,1.070778887784581
59,0.04316876067607274,1.870762465895566,2.8222734043468107,2.8654421650228827,1.000814975679506
