Process ID,Burst Time,Arrival Time,Time of First Service,Completion Time,Waiting Time
1,0.04629714478245375,0.0008550518280296685,0.0008550518280296685,0.04715219661048342,0.0
2,0.2530931634428964,0.1055670437983282,0.1055670437983282,0.3586602072412246,0.0
3,0.013645172778805744,0.4948706175540204,0.4948706175540204,0.5085157903328261,0.0
4,0.04099482599995604,0.6250524224520337,0.6250524224520337,0.6660472484519898,0.0
5,0.0017537864782263808,0.6603325593425986,0.6660472484519898,0.6678010349302161,0.005714689109391213
6,0.09487664773099906,0.7411447837396103,0.7411447837396103,0.8360214314706094,0.0
7,0.07425341215468566,0.7891522005228072,0.8360214314706094,0.910274843625295,0.046869230947802154
8,0.021294812691367564,0.8895306020501729,0.910274843625295,0.9315696563166626,0.020744241575122113
9,0.016776024543358418,0.9206415082842713,0.9315696563166626,0.948345680860021,0.010928148032391283
10,0.056097475092897364,1.3362645530767114,1.3362645530767114,1.3923620281696087,0.0
11,0.29786848928991577,1.3915221818680976,1.3923620281696087,1.6902305174595245,0.0008398463015111268
12,0.020007376169216405,1.4664208719316145,1.6902305174595245,1.7102378936287408,0.22380964552790994
13,0.03969403114100607,1.4943860359418049,1.7102378936287408,1.749931924769747,0.21585185768693593
14,0.05311603059644175,1.5012116024323616,1.749931924769747,1.8030479553661887,0.24872032233738528
15,0.020062750654589116,1.6027633308150286,1.8030479553661887,1.8231107060207778,0.20028462455116003
16,0.01015938508918479,1.609881671154432,1.8231107060207778,1.8332700911099626,0.21322903486634592
17,0.027368605804278422,1.7074896881330701,1.8332700911099626,1.860638696914241,0.12578040297689252
18,0.19927662302553067,1.9855407290495586,1.9855407290495586,2.1848173520750893,0.0
19,0.10163679839449344,2.112656577603027,2.1848173520750893,2.2864541504695826,0.07216077447206226
20,0.11286561402521551,2.2241746450990383,2.2864541504695826,2.399319764494798,0.062279505370544275
21,0.011527733968499461,2.386292653095435,2.399319764494798,2.4108474984632973,0.013027111399362745
22,0.0009356927473078811,3.0085378412281685,3.0085378412281685,3.0094735339754766,0.0
23,0.10703049163943412,3.0215106975462125,3.0215106975462125,3.1285411891856465,0.0
24,0.03692301184790028,3.209545406255579,3.209545406255579,3.246468418103479,0.0
25,0.17342608744530458,3.3983127303684157,3.3983127303684157,3.57173881781372,0.0
26,0.0011121950458597106,3.5538605650683857,3.57173881781372,3.57285101285958,0.0178782527453345
27,0.024963257560059366,3.5876964923840453,3.5876964923840453,3.612659749944105,0.0
28,0.13144454825301374,3.588186057481802,3.612659749944105,3.7441042981971187,0.02447369246230302
29,0.018933508276000675,3.614618509253383,3.7441042981971187,3.763037806473119,0.12948578894373552
30,0.004967652460722287,3.6475680940769264,3.763037806473119,3.7680054589338416,0.11546971239619275
31,0.0014301854686091522,3.808256289870032,3.808256289870032,3.809686475338641,0.0
32,0.04135674221391755,3.8839360237425846,3.8839360237425846,3.925292765956502,0.0
33,0.01758356231635582,4.0452677476429955,4.0452677476429955,4.062851309959351,0.0
34,0.1916091610518335,4.056974963520717,4.062851309959351,4.254460471011185,0.005876346438633995
35,0.1613747207142235,4.120189728547622,4.254460471011185,4.415835191725408,0.13427074246356252
36,0.06904151932133905,4.140873156360304,4.415835191725408,4.484876711046748,0.2749620353651041
37,0.031187845097823175,4.197559888722147,4.484876711046748,4.5160645561445705,0.287316822324601
38,0.13077482755494899,4.21006339171198,4.5160645561445705,4.646839383699519,0.3060011644325904
39,0.012636065334624247,4.387902668356001,4.646839383699519,4.659475449034144,0.25893671534351803
40,0.20938407160793454,4.4614941139749345,4.659475449034144,4.868859520642078,0.19798133505920923
41,0.12906899744013883,4.472359882250562,4.868859520642078,4.997928518082217,0.39649963839151603
42,0.04240644369553054,4.498803774764139,4.997928518082217,5.040334961777748,0.4991247433180783
43,0.042676895677378826,4.584730635310017,5.040334961777748,5.083011857455126,0.4556043264677312
44,0.009838485880124363,4.6054484877386885,5.083011857455126,5.09285034333525,0.47756336971643787
45,0.059223593986347065,4.66609165379266,5.09285034333525,5.152073937321598,0.42675868954259055
46,0.030834090957768262,4.6802800409275145,5.152073937321598,5.182908028279366,0.4717938963940833
47,0.010870662732873428,4.711816457168876,5.182908028279366,5.193778691012239,0.47109157111048994
48,0.006449606539612371,4.73962192134184,5.193778691012239,5.200228297551852,0.45415676967039964
49,0.11459516629739304,4.78552785031604,5.200228297551852,5.314823463849245,0.4147004472358118
50,0.030243815094122127,4.899574352342165,5.314823463849245,5.345067278943367,0.4152491115070802
51,0.016664534610713294,5.007887751564004,5.345067278943367,5.361731813554081,0.3371795273793632
52,0.09139775106448308,5.0127373928668275,5.361731813554081,5.453129564618564,0.3489944206872533
53,0.031137683535075074,5.068219762857359,5.453129564618564,5.484267248153639,0.3849098017612054
54,0.005098583113514108,5.1527540792067414,5.484267248153639,5.489365831267153,0.33151316894689753
55,0.03992246028613079,5.342109265556897,5.489365831267153,5.529288291553284,0.14725656571025603
56,0.034348615781482635,5.4146782190702325,5.529288291553284,5.563636907334766,0.11461007248305144
57,0.07497236638922433,5.449813776018005,5.563636907334766,5.638609273723991,0.11382313131676103
58,0.11772523184222908,5.539881745082646,5.638609273723991,5.75633450556622,0.09872752864134515
59,0.08900654563171896,5.579271323020362,5.75633450556622,5.845341051197939,0.17706318254585796
60,0.02973842655989386,5.79961630662532,5.845341051197939,5.875079477757833,0.04572474457261855
61,0.04817128329199045,5.89544187713184,5.89544187713184,5.943613160423831,0.0
62,0.1495326825851185,6.604564850698705,6.604564850698705,6.754097533283824,0.0
