Time	Type	Process
2.1658391494076676	departure	<__main__.Process object at 0x0000014F51CF6990>
2.274064865549855	swapping	<__main__.Process object at 0x0000014F51CF6990>
2.274064865549855	arrival	<__main__.Process object at 0x0000014F51CF7B50>
2.274064865549855	departure	<__main__.Process object at 0x0000014F51CF6A50>
2.2894504553925534	arrival	<__main__.Process object at 0x0000014F51CF7C10>
2.2894504553925534	departure	<__main__.Process object at 0x0000014F51CF6990>
2.314717909194115	arrival	<__main__.Process object at 0x0000014F51CF7CD0>
2.331078667066772	arrival	<__main__.Process object at 0x0000014F51CF7D50>
2.331078667066772	departure	<__main__.Process object at 0x0000014F51CF6B50>
2.3838475797910665	swapping	<__main__.Process object at 0x0000014F51CF6B50>
2.3838475797910665	arrival	<__main__.Process object at 0x0000014F51CF7E50>
2.3838475797910665	departure	<__main__.Process object at 0x0000014F51CF6B50>
2.4142249077606643	arrival	<__main__.Process object at 0x0000014F51CF7F10>
2.4142249077606643	departure	<__main__.Process object at 0x0000014F51CF6C10>
2.4825488410547307	arrival	<__main__.Process object at 0x0000014F51CF7FD0>
2.5183325662797236	arrival	<__main__.Process object at 0x0000014F51CFC090>
2.5183325662797236	departure	<__main__.Process object at 0x0000014F51CF6D10>
2.5361017574144635	arrival	<__main__.Process object at 0x0000014F51CFC150>
2.543200512593663	arrival	<__main__.Process object at 0x0000014F51CFC1D0>
2.543200512593663	departure	<__main__.Process object at 0x0000014F51CF6DD0>
2.563527113902338	arrival	<__main__.Process object at 0x0000014F51CFC290>
2.674332203494827	arrival	<__main__.Process object at 0x0000014F51CFC310>
2.674332203494827	departure	<__main__.Process object at 0x0000014F51CF6ED0>
2.7999600130916042	arrival	<__main__.Process object at 0x0000014F51CFC3D0>
2.893014117306419	arrival	<__main__.Process object at 0x0000014F51CFC450>
2.893014117306419	departure	<__main__.Process object at 0x0000014F51CF6F90>
2.9337958885945294	arrival	<__main__.Process object at 0x0000014F51CFC510>
2.9366416943108367	arrival	<__main__.Process object at 0x0000014F51CFC590>
2.9366416943108367	departure	<__main__.Process object at 0x0000014F51CF7090>
3.0286325283664373	arrival	<__main__.Process object at 0x0000014F51CFC650>
3.0320488169058635	arrival	<__main__.Process object at 0x0000014F51CFC6D0>
3.0320488169058635	departure	<__main__.Process object at 0x0000014F51CF7150>
3.054564637400499	arrival	<__main__.Process object at 0x0000014F51CFC790>
3.1290978859959955	arrival	<__main__.Process object at 0x0000014F51CFC810>
3.1290978859959955	departure	<__main__.Process object at 0x0000014F51CF7210>
3.26485528610108	swapping	<__main__.Process object at 0x0000014F51CF7210>
3.26485528610108	arrival	<__main__.Process object at 0x0000014F51CFC910>
3.26485528610108	departure	<__main__.Process object at 0x0000014F51CF7290>
3.3038225100363094	arrival	<__main__.Process object at 0x0000014F51CFC9D0>
3.3038225100363094	departure	<__main__.Process object at 0x0000014F51CF7210>
3.3380667931351917	swapping	<__main__.Process object at 0x0000014F51CF7210>
3.3380667931351917	arrival	<__main__.Process object at 0x0000014F51CFCAD0>
3.3380667931351917	departure	<__main__.Process object at 0x0000014F51CF7350>
3.3657008408366615	arrival	<__main__.Process object at 0x0000014F51CFCB90>
3.3657008408366615	departure	<__main__.Process object at 0x0000014F51CF7210>
3.4304877740071973	arrival	<__main__.Process object at 0x0000014F51CFCC50>
3.458919886041232	arrival	<__main__.Process object at 0x0000014F51CFCCD0>
3.458919886041232	departure	<__main__.Process object at 0x0000014F51CF73D0>
3.4973260059242746	arrival	<__main__.Process object at 0x0000014F51CFCD90>
3.5382820892282023	arrival	<__main__.Process object at 0x0000014F51CFCE10>
3.5382820892282023	departure	<__main__.Process object at 0x0000014F51CF7490>
3.6115192370583995	arrival	<__main__.Process object at 0x0000014F51CFCED0>
3.633862276778112	arrival	<__main__.Process object at 0x0000014F51CFCF50>
3.633862276778112	departure	<__main__.Process object at 0x0000014F51CF7510>
3.6417311171936295	swapping	<__main__.Process object at 0x0000014F51CF7510>
3.6417311171936295	arrival	<__main__.Process object at 0x0000014F51CFD050>
3.6417311171936295	departure	<__main__.Process object at 0x0000014F51CF7510>
3.651186693189553	arrival	<__main__.Process object at 0x0000014F51CFD110>
3.651186693189553	departure	<__main__.Process object at 0x0000014F51CF7610>
3.6726372619474588	arrival	<__main__.Process object at 0x0000014F51CFD1D0>
3.8639533035676568	arrival	<__main__.Process object at 0x0000014F51CFD250>
3.8639533035676568	departure	<__main__.Process object at 0x0000014F51CF76D0>
3.8967555793517086	swapping	<__main__.Process object at 0x0000014F51CF76D0>
3.8967555793517086	arrival	<__main__.Process object at 0x0000014F51CFD350>
3.8967555793517086	departure	<__main__.Process object at 0x0000014F51CF76D0>
3.9237921667784352	arrival	<__main__.Process object at 0x0000014F51CFD410>
3.9237921667784352	departure	<__main__.Process object at 0x0000014F51CF77D0>
3.9268579373214605	swapping	<__main__.Process object at 0x0000014F51CF77D0>
